cluster,label,description,review_note,n_docs,n_paper,n_project,n_patent,dominant_type,is_carbon_capture,top_terms,nearest_siblings,representative_titles
0,Orthogonal Genetic Algorithm Optimization,Computational optimization technique combining orthogonal experimental design with genetic algorithms for engineering and scheduling problems.,,145,142,0,3,paper,False,"genetic algorithm, genetic algorithms, algorithm ga, ga, ann, radar, artificial neural, ais",c70:Synthetic Biology Design Tools(0.76) | c74:Genetic Logic Circuits(0.69) | c79:Light-Responsive Bacterial Circuits(0.69) | c65:Genetic Circuit Dynamics(0.69) | c46:Psychobiotic Probiotic Engineering(0.66),"Combination of Orthogonal Experimental Method,Neural Networks and Genetic Algorithms | An intelligent optimization method of power system restoration path based on orthogonal genetic algorithm | Solution for integer linear bilevel programming problems using orthogonal genetic algorithm | Orthogonal genetic algorithm based power system restoration path optimization | Parameter Calibration Method of Microscopic Traffic Flow Simulation Models based on Orthogonal Genetic Algorithm | An orthogonal genetic algorithm with quantization for global numerical optimization | Orthogonal Genetic Algorithm | An orthogonal genetic algorithm with total flowtime minimization for the no-wait flow shop problem | An Orthogonal Genetic Algorithm for Job Shop Scheduling Problems with Multiple Objectives | Application of improving orthogonal-based genetic algorithm in function optimization"
1,Microbial Electrochemical Systems,Engineering electroactive microorganisms via synthetic biology for bioelectrochemical energy and chemical production.,,75,69,0,6,paper,False,"eet, cod, power density, electrolysis, electrosynthesis, extracellular electron, condensate, exoelectrogens",c63:Lignocellulose Bioconversion to Biofuels(0.79) | c57:Microbial Bioremediation & Biochemical Production(0.78) | c62:Syngas Fermentation to Alcohols(0.74) | c36:Transcription Factor Biosensors(0.70) | c9:Organic Photovoltaic Materials(0.70),"A study of electron source preference and its impact on hydrogen production in microbial electrolysis cells fed with synthetic fermentation effluent | Synthetic Biology Strategies to Improve Electron Transfer Rate at the Microbe–Anode Interface in Microbial Fuel Cells | Enhancing Microbial Electron Transfer Through Synthetic Biology and Biohybrid Approaches: Part I | Bioelectrochemical systems and synthetic biology: more power, more products | Minimal RED Cell Pairs Markedly Improve Electrode Kinetics and Power Production in Microbial Reverse Electrodialysis Cells | Activated Carbon Electrodes for Bioenergy Production in Microbial Fuel Cells Using Synthetic Wastewater as Substrate | Engineering extracellular electron transfer pathways of electroactive microorganisms by synthetic biology for energy and chemicals production | Enhancing Microbial Electron Transfer Through Synthetic Biology and Biohybrid Approaches: Part II | Exploiting synergies between microbial electrochemical technologies and synthetic biology | Electrochemical Oxidation of the Sulfide Ion in Synthetic Geothermal Brines in Batch Cells Using Coke Electrodes"
2,MRD Flow Cytometry Leukemia Prognosis,Flow cytometry-based minimal residual disease detection for risk stratification and outcome prediction in acute lymphoblastic leukemia patients undergoing hematopoietic stem cell transplantation.,,281,281,0,0,paper,False,"mrd, residual disease, minimal residual, hsct, disease mrd, mrd positive, pfs, sct",c4:Circulating Tumor DNA MRD Detection(0.84) | c68:CAR-T Cell Engineering(0.72) | c69:PARP Inhibitor Synthetic Lethality(0.71) | c34:Genomic Variant Prediction & Benchmarking(0.64) | c12:Mammalian Gene Circuit Engineering(0.64),"Minimal residual disease level determined by flow cytometry provides reliable risk stratification in adults with T‐cell acute lymphoblastic leukaemia | Impact of Minimal Residual Disease, Detected by Flow Cytometry, on Outcome of Myeloablative Hematopoietic Cell Transplantation for Acute Lymphoblastic | The significance of peripheral blood minimal residual disease to predict early disease response in patients with B‐cell acute lymphoblastic leukemia | Minimal residual disease in peripheral blood at day 15 identifies a subgroup of childhood B-cell precursor acute lymphoblastic leukemia with superior  | Minimal Residual Disease Prior to and After Haematopoietic Stem Cell Transplantation in Children and Adolescents With Acute Lymphoblastic Leukaemia: W | Prognostic Value of Minimal Residual Disease Quantification Before Allogeneic Stem-Cell Transplantation in Relapsed Childhood Acute Lymphoblastic Leuk | Detectable minimal residual disease before allogeneic hematopoietic stem cell transplantation predicts extremely poor prognosis in children with acute | Minimal residual disease and stem cell transplantation outcomes | Comparative Analysis of Flow Cytometry and RQ-PCR for the Detection of Minimal Residual Disease in Philadelphia Chromosome–Positive Acute Lymphoblasti | Clearance of minimal residual disease after allogeneic stem cell transplantation and the prediction of the clinical outcome of adult patients with hig"
3,Esophageal Squamous Cell Carcinoma Surgery,Minimally invasive esophagectomy techniques and surgical outcomes for locally advanced esophageal squamous cell carcinoma treatment.,,76,76,0,0,paper,False,"esophageal squamous, neoadjuvant, thoracic, escc, esophageal, squamous cell, locally advanced, cell carcinoma",c4:Circulating Tumor DNA MRD Detection(0.75) | c69:PARP Inhibitor Synthetic Lethality(0.72) | c52:miRNA-Based Cancer Immunotherapy(0.70) | c72:Synthetic Triterpenoid Apoptosis Induction(0.69) | c66:Peptide-Based Cell Targeting(0.69),Minimal invasive versus open esophagectomy for patients with esophageal squamous cell carcinoma after neoadjuvant treatments | Perioperative Outcomes of Minimally Invasive Esophagectomy After Neoadjuvant Immunotherapy for Patients With Locally Advanced Esophageal Squamous Cell | Robot-assisted minimally invasive esophagectomy versus minimally invasive esophagectomy for thoracic lymph node dissection in patients with squamous c | Minimally invasive esophagectomy is a safe surgical treatment for locally advanced pathologic T3 esophageal squamous cell carcinoma | Minimally Invasive or Open Esophagectomy for Treatment of Resectable Esophageal Squamous Cell Carcinoma? Answer From a Real-world Multicenter Study | Long-term outcomes of minimally invasive Ivor Lewis esophagostomy for esophageal squamous cell carcinoma: Compared with open approach | Morbidity and Mortality of Patients Who Underwent Minimally Invasive Esophagectomy After Neoadjuvant Chemoradiotherapy vs Neoadjuvant Chemotherapy for | Minimally invasive oesophagectomy with extended lymph node dissection and thoracic duct resection for early-stage oesophageal squamous cell carcinoma | RETRACTED ARTICLE: Comparison of minimally invasive Ivor Lewis esophagectomy and left transthoracic esophagectomy in esophageal squamous cell carcinom | Comparison of McKeown Minimally Invasive Esophagectomy vs sweet esophagectomy for esophageal squamous cell carcinoma: A retrospective study
4,Circulating Tumor DNA MRD Detection,Liquid biopsy techniques using cell-free and circulating tumor DNA to detect minimal residual disease in solid tumors.,,55,52,1,2,paper,False,"mrd, ctdna, minimal residual, residual disease, cfdna, pvs, igh, consultancy",c2:MRD Flow Cytometry Leukemia Prognosis(0.84) | c3:Esophageal Squamous Cell Carcinoma Surgery(0.75) | c34:Genomic Variant Prediction & Benchmarking(0.73) | c69:PARP Inhibitor Synthetic Lethality(0.73) | c52:miRNA-Based Cancer Immunotherapy(0.69),Circulating Tumor DNA Minimal Residual Disease Detection of Non–Small-Cell Lung Cancer Treated With Curative Intent | Circulating tumor DNA (ctDNA)-based minimal residual disease in non-small cell lung cancer | Kinetics of postoperative circulating cell-free DNA and impact on minimal residual disease detection rates in patients with resected stage I-III color | Circulating Cell-Free <i>SEPT9</i> DNA Methylation in Blood Is a Biomarker for Minimal Residual Disease Detection in Head and Neck Squamous Cell Carci | Plasma Circulating Tumor DNA Sequencing Predicts Minimal Residual Disease in Resectable Esophageal Squamous Cell Carcinoma | Enhanced Detection of Landmark Minimal Residual Disease in Lung Cancer Using Cell-free DNA Fragmentomics | Detection of circulating tumor DNA with ultradeep sequencing of plasma cell‐free DNA for monitoring minimal residual disease and early detection of re | Cell‐free <scp>DNA</scp> — Minimally invasive marker of hematological malignancies | Minimal Residual Disease Monitoring in Radically Treated Non-Small Cell Lung Cancer: Challenges and Future Directions | Liquid BIOpsy for MiNimal RESidual DiSease Detection in Head and Neck Squamous Cell Carcinoma (LIONESS)—a personalised circulating tumour DNA analysis
5,Chlamydomonas Chloroplast Engineering,Synthetic biology tools and chassis development for Chlamydomonas reinhardtii chloroplast engineering and applications.,,65,20,43,2,project,False,"reinhardtii, chlamydomonas, chlamydomonas reinhardtii, chloroplast, microalgae, microalga, microalgal, moclo",c7:Cyanobacterial Metabolic Engineering(0.79) | c6:Microalgal Chloroplast Engineering(0.77) | c58:Yeast Metabolite Biosynthesis(0.70) | c8:Cyanobacterial Chassis Development(0.69) | c55:Nutrient Cycling Biosensors(0.69),Clean Green Lipid Machines: Synthetic biology tools for microalgae | Birth of a Photosynthetic Chassis: A MoClo Toolkit Enabling Synthetic Biology in the Microalga <i>Chlamydomonas reinhardtii</i> | ChloroNova: Proposing Algal Chloroplast as the New Status Quo for Biopharmaceutical Peptide Production | Bloom Busters: Engineering Chlamydomonas reinhardtii to fight toxic algal blooms | Bloom-B-Gone: Preventing Utah Lake Cyanobacterial Blooms by Phosphorous and Nitrogen Sequestration | Engineering Heat-Tolerant Algae to Address Global Warming | A better carbon sequestration factory for improving agricultural productivity and land | Chlamylicious - Establishing Chlamy at iGEM while degrading plastic | AlgaGenix | Comparison of secretory signal peptides for heterologous protein expression in microalgae: Expanding the secretion portfolio for Chlamydomonas reinhar
6,Microalgal Chloroplast Engineering,Synthetic biology and metabolic engineering of diverse microalgae species for sustainable bioproduction and environmental applications.,,83,67,0,16,paper,False,"nannochloropsis, microalgal, chloroplast, tricornutum, cam, photosynthetic efficiency, microalgae, symbiodinium",c8:Cyanobacterial Chassis Development(0.83) | c61:Plant Genetic Engineering Tools(0.80) | c5:Chlamydomonas Chloroplast Engineering(0.77) | c60:Microbial Phytochemical Biosynthesis(0.76) | c63:Lignocellulose Bioconversion to Biofuels(0.75),"Harnessing the Algal Chloroplast for Heterologous Protein Production | Synthetic Biology Approaches To Enhance Microalgal Productivity | Emerging Technologies in Algal Biotechnology: Toward the Establishment of a Sustainable, Algae-Based Bioeconomy | The Algal Chloroplast as a Testbed for Synthetic Biology Designs Aimed at Radically Rewiring Plant Metabolism | A Critical Review of Genome Editing and Synthetic Biology Applications in Metabolic Engineering of Microalgae and Cyanobacteria | In Metabolic Engineering of Eukaryotic Microalgae: Potential and Challenges Come with Great Diversity | A synthetic biology approach for the treatment of pollutants with microalgae | Synthetic Biology and Metabolic Engineering of Microalgae for Sustainable Lipid and Terpenoid Production: An Updated Perspective | Engineering microalgae: transition from empirical design to programmable cells | Towards developing algal synthetic biology"
7,Cyanobacterial Metabolic Engineering,"Engineering Synechocystis and Synechococcus for photosynthetic production of chemicals, proteins, and biofuels.",,58,8,48,2,project,False,"pcc, 6803, pcc 6803, synechocystis, sp pcc, synechococcus, synechococcus elongatus, elongatus",c8:Cyanobacterial Chassis Development(0.85) | c5:Chlamydomonas Chloroplast Engineering(0.79) | c55:Nutrient Cycling Biosensors(0.79) | c78:Optogenetic Gene Expression Control(0.74) | c37:Aromatic Hydrocarbon Bioremediation(0.71),"CyanoDelux | Synthetic Romance - Harnessing the power of Cyanobacteria to construct a sustainable consortia | Expression of the Cyanobacterial FoF1 ATP Synthase Regulator AtpΘ Depends on Small DNA-Binding Proteins and Differential mRNA Stability | The Sucrose Factory | CyanoBricks: Genomic Engineering Tools for the Photosynthetic Cyanobacterium Synechocystis | Turning pollution into a solution | CyanoLogic: A novel, modular production system in Synechocystis 6803 | Innovating living photovoltaics: Renewable energy from Cyanobacteria | RubisCO | OCYANO - The development of two low-input photosynthetic systems for sustainable protein production"
8,Cyanobacterial Chassis Development,Engineering fast-growing cyanobacterial strains like Synechococcus elongatus as synthetic biology platforms for photosynthetic biosynthesis.,,135,120,3,12,paper,True,"pcc, sp pcc, 6803, pcc 6803, synechocystis, elongatus pcc, synechocystis sp, cyanobacterial",c7:Cyanobacterial Metabolic Engineering(0.85) | c6:Microalgal Chloroplast Engineering(0.83) | c63:Lignocellulose Bioconversion to Biofuels(0.71) | c57:Microbial Bioremediation & Biochemical Production(0.70) | c5:Chlamydomonas Chloroplast Engineering(0.69),"Synechococcus elongatus UTEX 2973, a fast growing cyanobacterial chassis for biosynthesis using light and CO2 | Synthetic Biology Toolkits for Metabolic Engineering of Cyanobacteria | Development of SyneBrick Vectors As a Synthetic Biology Platform for Gene Expression in Synechococcus elongatus PCC 7942 | Design and characterization of molecular tools for a Synthetic Biology approach towards developing cyanobacterial biotechnology | Cpf1 Is A Versatile Tool for CRISPR Genome Editing Across Diverse Species of Cyanobacteria | Synthetic Biology in Cyanobacteria and Applications for Biotechnology | Expanding the synthetic biology repertoire of a fast‐growing cyanobacterium <i>Synechococcus elongatus</i> PCC 11801 | Synthetic biology strategies for cyanobacterial systems to heterologously produce cyanobacterial natural products | Translation efficiency of heterologous proteins is significantly affected by the genetic context of RBS sequences in engineered cyanobacterium Synecho | Genome Engineering in Cyanobacteria: Where We Are and Where We Need To Go"
9,Organic Photovoltaic Materials,Design and synthesis of organic semiconductors and sensitizers for solar cells and photovoltaic devices.,,74,69,0,5,paper,False,"solar cells, perovskite, oscs, power conversion, solar cell, pce, perovskite solar, sensitized",c1:Microbial Electrochemical Systems(0.70) | c30:Carbon Nanotube Nanostructures(0.67) | c24:Peptide Coiled-Coil Assembly(0.66) | c6:Microalgal Chloroplast Engineering(0.64) | c21:Fluorescent Protein Engineering(0.61),"A minimal benzo[<i>c</i>][1,2,5]thiadiazole-based electron acceptor as a third component material for ternary polymer solar cells with efficiencies ex | Revisiting the Dithienophthalimide Building Block: Improved Synthetic Method Yielding New High‐Performance Polymer Donors for Organic Solar Cells | Efficient Organic Solar Cells Enabled by Simple Non‐Fused Electron Donors with Low Synthetic Complexity | A Structurally Simple Polymer Donor Enables High‐Efficiency Organic Solar Cells with Minimal Energy Losses | Sustainable synthetic approach to π-conjugated arylacetylenic semiconductors for bulk heterojunction solar cells | High-Performance Polymer Solar Cells with Minimal Energy Loss Enabled by a Main-Chain-Twisted Nonfullerene Acceptor | Low Band Gap Polymer Solar Cells With Minimal Voltage Losses | New Synthetic Routes towards Soluble and Dissymmetric Triphenodioxazine Dyes Designed for Dye‐Sensitized Solar Cells | Molecular designs, synthetic strategies, and properties for porphyrins as sensitizers in dye-sensitized solar cells | Balancing the Efficiency and Synthetic Accessibility of Organic Solar Cells with Isomeric Acceptor Engineering"
