id,rep_patent,title,abstract,text,has_abstract
6t526g38574v3536hs4g144e1w1jib294k32,US9121036,EXPRESSION SYSTEMS FOR INSECT PEST CONTROL,Promoters active in insects can be enhanced by positive feedback mechanisms and associated with repressible lethal effects.,EXPRESSION SYSTEMS FOR INSECT PEST CONTROL. Promoters active in insects can be enhanced by positive feedback mechanisms and associated with repressible lethal effects,True
66x41f5a2ds2q4b324w5s6o6a6u1r2s135u,US9487801,Biocontrol,"Provided is an arthropod male germline gene expression system suitable for conditional expression of an effector gene in an Arthropod male germline. The system comprises a first expression unit comprising an effector gene and a promoter therefor operably linked thereto; and a second expression unit. Said second unit comprises a coding sequence for a transcription factor and an upstream regulatory element operably linked thereto, the transcription factor being capable of acting upon the promoter in the first expression unit to drive expression of the effector gene. The upstream regulatory element includes a promoter for the transcription factor; and a 5&#x2032; UTR adjacent a start site for the transcription factor coding sequence. The upstream regulatory element driving sufficient expression of the transcription factor such that the transcription factor protein in turn drives transcription of the effector gene before meiosis. Also provided are uses of the system for instance in methods of biocontrol and quality control.","Biocontrol. Provided is an arthropod male germline gene expression system suitable for conditional expression of an effector gene in an Arthropod male germline. The system comprises a first expression unit comprising an effector gene and a promoter therefor operably linked thereto; and a second expression unit. Said second unit comprises a coding sequence for a transcription factor and an upstream regulatory element operably linked thereto, the transcription factor being capable of acting upon the promoter in the first expression unit to drive expression of the effector gene. The upstream regulatory element includes a promoter for the transcription factor; and a 5&#x2032; UTR adjacent a start site for the transcription factor coding sequence. The upstream regulatory element driving sufficient expression of the transcription factor such that the transcription factor protein in turn drives transcription of the effector gene before meiosis. Also provided are uses of the system for instance in methods of biocontrol and quality control",True
a2e1e534193e514n5i5727545q70716q3f2x6z,US9180464,SORTING APPARATUS FOR ARTHROPODS AND METHOD OF USE THEREOF,"There is provided an apparatus for sorting arthropod larvae and pupae and in particular, although not necessarily, to sorting arthropod pupae on the basis of size, especially in mosquitoes. The apparatus can contain two parallel bars pivotally mounted in a frame such that the distance between the bars is adjustable. Insect larvae and pupae may be inserted into a chamber with one side formed by the grid of bars and inserted into water to separate the different forms.","SORTING APPARATUS FOR ARTHROPODS AND METHOD OF USE THEREOF. There is provided an apparatus for sorting arthropod larvae and pupae and in particular, although not necessarily, to sorting arthropod pupae on the basis of size, especially in mosquitoes. The apparatus can contain two parallel bars pivotally mounted in a frame such that the distance between the bars is adjustable. Insect larvae and pupae may be inserted into a chamber with one side formed by the grid of bars and inserted into water to separate the different forms",True
4b164v326e4i465q6t3w3p3v384w712gf355x4f,US9125388,BIOLOGICAL CONTROL BY CONDITIONAL DOMINANT LETHAL GENETIC SYSTEM,"The invention relates to a non-human multicellular organism carrying a dominant lethal genetic system, the lethal effect of which is conditional, wherein the lethal effect of the lethal system occurs in the natural environment of the organism.","BIOLOGICAL CONTROL BY CONDITIONAL DOMINANT LETHAL GENETIC SYSTEM. The invention relates to a non-human multicellular organism carrying a dominant lethal genetic system, the lethal effect of which is conditional, wherein the lethal effect of the lethal system occurs in the natural environment of the organism",True
83092f4x3h215x4a4f3h4i3q604p6v5q3r3t1w,US8124404,STABLE INTEGRANDS,"There is provided a transposable element comprising at least four inverted repeats, at least two of which are each inverted in relation to another, the element comprising DNA for insertion into a host genome, the DNA being located between two pairs of opposing repeats excisable by a transposase in situ to leave said DNA without flanking transposon-derived repeats in the host genome. Also provided is a transposable element comprising at least three inverted repeats, at least one of which is inverted in relation to the others, wherein at least one non-terminal repeat is a minimal repeat. Both these elements allow for greater efficiency of insertion of nucleotide sequences into the genome.","STABLE INTEGRANDS. There is provided a transposable element comprising at least four inverted repeats, at least two of which are each inverted in relation to another, the element comprising DNA for insertion into a host genome, the DNA being located between two pairs of opposing repeats excisable by a transposase in situ to leave said DNA without flanking transposon-derived repeats in the host genome. Also provided is a transposable element comprising at least three inverted repeats, at least one of which is inverted in relation to the others, wherein at least one non-terminal repeat is a minimal repeat. Both these elements allow for greater efficiency of insertion of nucleotide sequences into the genome",True
2f514e583z18b2b15191x4l8e632r6h2d2z,US7998475,DILUTION OF GENETIC TRAITS,"Undesirable genetic traits, such as resistance to toxin, can be inhibited or reversed by introducing sexually compatible individuals substantially homozygous for the sensitive allele, such as the wild type, into the target population.","DILUTION OF GENETIC TRAITS. Undesirable genetic traits, such as resistance to toxin, can be inhibited or reversed by introducing sexually compatible individuals substantially homozygous for the sensitive allele, such as the wild type, into the target population",True
3t3h5k1d1x4i1h1q2v5r6o4k25391h1c585q3320,US6852544,Rapid quantitative analysis of proteins or protein function in complex mixtures,"Analytical reagents and mass spectrometry-based methods using these reagents for the rapid, and quantitative analysis of proteins or protein function in mixtures of proteins. The methods employ affinity labeled protein reactive reagents having three portions: an affinity label (A) covalently linked to a protein reactive group (PRG) through a linker group (L). The linker may be differentially isotopically labeled, e.g., by substitution of one or more atoms in the linker with a stable isotope thereof. These reagents allow for the selective isolation of peptide fragments or the products of reaction with a given protein (e.g., products of enzymatic reaction) from complex mixtures. The isolated peptide fragments or reaction products are characteristic of the presence of a protein or the presence of a protein function in those mixtures. Isolated peptides or reaction products are characterized by mass spectrometric (MS) techniques. The reagents also provide for differential isotopic labeling of the isolated peptides or reaction products which facilitates quantitative determination by mass spectrometry of the relative amounts of proteins in different samples. The methods of this invention can be used for qualitative and quantitative analysis of global protein expression profiles in cells and tissues, to screen for and identify proteins whose expression level in cells, tissue or biological fluids is affected by a stimulus or by a change in condition or state of the cell, tissue or organism from which the sample originated.","Rapid quantitative analysis of proteins or protein function in complex mixtures. Analytical reagents and mass spectrometry-based methods using these reagents for the rapid, and quantitative analysis of proteins or protein function in mixtures of proteins. The methods employ affinity labeled protein reactive reagents having three portions: an affinity label (A) covalently linked to a protein reactive group (PRG) through a linker group (L). The linker may be differentially isotopically labeled, e.g., by substitution of one or more atoms in the linker with a stable isotope thereof. These reagents allow for the selective isolation of peptide fragments or the products of reaction with a given protein (e.g., products of enzymatic reaction) from complex mixtures. The isolated peptide fragments or reaction products are characteristic of the presence of a protein or the presence of a protein function in those mixtures. Isolated peptides or reaction products are characterized by mass spectrometric (MS) techniques. The reagents also provide for differential isotopic labeling of the isolated peptides or reaction products which facilitates quantitative determination by mass spectrometry of the relative amounts of proteins in different samples. The methods of this invention can be used for qualitative and quantitative analysis of global protein expression profiles in cells and tissues, to screen for and identify proteins whose expression level in cells, tissue or biological fluids is affected by a stimulus or by a change in condition or state of the cell, tissue or organism from which the sample originated",True
2o4r4266d5t1n4w6k4h3q10g2n175j5h6r336x,US7848888,Assaying and imaging system identifying traits of biological specimens,"The present invention provides a method for screening for the effect of a test agent on a population of biological specimens, preferably insects, comprising the steps of providing a population of specimens, administering at least one test agent to the population, creating a digitized movie showing the movements of members of the population, measuring at least one trait of members of the population, and correlating the traits of the population with the effect of the test agent. The invention also provides a method for preparing a medicament useful for the treatment of a mammalian disease.","Assaying and imaging system identifying traits of biological specimens. The present invention provides a method for screening for the effect of a test agent on a population of biological specimens, preferably insects, comprising the steps of providing a population of specimens, administering at least one test agent to the population, creating a digitized movie showing the movements of members of the population, measuring at least one trait of members of the population, and correlating the traits of the population with the effect of the test agent. The invention also provides a method for preparing a medicament useful for the treatment of a mammalian disease",True
4b6lw3h2f5b6t5hz5l6r1m4930n263o3o5d62,US8119374,Nucleotide sequences of coryneform bacteria coding for proteins involved in L-serine metabolism and method for producing L-serine,This invention relates to the nucleotide sequence of coryneform bacteria coding for proteins which are involved in L-serine metabolism with reduced and switched off L-serine dehydratase activity. The invention also relates to microorganisms used in methods for producing L-serine.,Nucleotide sequences of coryneform bacteria coding for proteins involved in L-serine metabolism and method for producing L-serine. This invention relates to the nucleotide sequence of coryneform bacteria coding for proteins which are involved in L-serine metabolism with reduced and switched off L-serine dehydratase activity. The invention also relates to microorganisms used in methods for producing L-serine,True
0252f6w6047u336j4u3nl3i6p1a1n502224f,US9718862,Polypeptides and their use in treating and limiting respiratory syncytial virus infection,"The present invention provides polypeptides and compositions thereof for treating or limiting respiratory syncytial virus infection, and computational methods for designing such polypeptides.","Polypeptides and their use in treating and limiting respiratory syncytial virus infection. The present invention provides polypeptides and compositions thereof for treating or limiting respiratory syncytial virus infection, and computational methods for designing such polypeptides",True
