id,geo_city,country,weight,rep_patent,lat,lon
6t526g38574v3536hs4g144e1w1jib294k32,Abingdon,GB,1.0,US9121036,51.6714842,-1.2779715
66x41f5a2ds2q4b324w5s6o6a6u1r2s135u,Abingdon,GB,1.0,US9487801,51.6714842,-1.2779715
a2e1e534193e514n5i5727545q70716q3f2x6z,Abingdon,GB,1.0,US9180464,51.6714842,-1.2779715
4b164v326e4i465q6t3w3p3v384w712gf355x4f,Abingdon,GB,0.5,US9125388,51.6714842,-1.2779715
4b164v326e4i465q6t3w3p3v384w712gf355x4f,Oxford,GB,0.5,US9125388,51.7520131,-1.2578499
83092f4x3h215x4a4f3h4i3q604p6v5q3r3t1w,Abington,GB,1.0,US8124404,55.492181,-3.6921002
2f514e583z18b2b15191x4l8e632r6h2d2z,Oxfordshire,GB,1.0,US7998475,51.833333,-1.25
3t3h5k1d1x4i1h1q2v5r6o4k25391h1c585q3320,Mercer Island,,0.14285714285714285,US6852544,47.5766324,-122.2276378
3t3h5k1d1x4i1h1q2v5r6o4k25391h1c585q3320,Seattle,,0.8571428571428571,US6852544,47.6038321,-122.330062
2o4r4266d5t1n4w6k4h3q10g2n175j5h6r336x,Backefors,SE,0.14285714285714285,US7848888,58.8061271,12.1599693
2o4r4266d5t1n4w6k4h3q10g2n175j5h6r336x,Heidelberg,DE,0.14285714285714285,US7848888,49.4093582,8.694724
2o4r4266d5t1n4w6k4h3q10g2n175j5h6r336x,Madrid,DE,0.14285714285714285,US7848888,40.416782,-3.703507
2o4r4266d5t1n4w6k4h3q10g2n175j5h6r336x,Weisloch,DE,0.14285714285714285,US7848888,,
2o4r4266d5t1n4w6k4h3q10g2n175j5h6r336x,"Brookline, MA",US,0.14285714285714285,US7848888,42.332918,-71.1187829
2o4r4266d5t1n4w6k4h3q10g2n175j5h6r336x,"Houston, TX",US,0.2857142857142857,US7848888,29.7589382,-95.3676974
4b6lw3h2f5b6t5hz5l6r1m4930n263o3o5d62,Julich,DE,1.0,US8119374,50.9220931,6.3611015
0252f6w6047u336j4u3nl3i6p1a1n502224f,"Encinitas, CA",US,0.5,US9718862,33.0369867,-117.2919818
0252f6w6047u336j4u3nl3i6p1a1n502224f,"San Diego, CA",US,0.5,US9718862,32.7174202,-117.162772
5t6l42511g33421s3l4xv5j1f2i1x3m3ep1c27,Br¿nsh¿j,DK,0.3333333333333333,US7122657,,
5t6l42511g33421s3l4xv5j1f2i1x3m3ep1c27,Leabrook,AU,0.3333333333333333,US7122657,-34.9296992,138.6551196
5t6l42511g33421s3l4xv5j1f2i1x3m3ep1c27,Chiba,JP,0.3333333333333333,US7122657,35.549399,140.2647303
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,Galway,IE,0.1111111111111111,US6825029,53.2744122,-9.0490601
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,County Westmeath,IE,0.1111111111111111,US6825029,53.5577902,-7.3478558
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,County Tipparary,IE,0.1111111111111111,US6825029,,
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,County Galway,IE,0.1111111111111111,US6825029,53.3435047,-8.8733741
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,Niederzier,DE,0.1111111111111111,US6825029,50.8833,6.46667
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,Julich,DE,0.2222222222222222,US6825029,50.9220931,6.3611015
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,Bielefeld,DE,0.1111111111111111,US6825029,52.0191005,8.531007
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,Tubingen,DE,0.1111111111111111,US6825029,48.5203263,9.053596
5646vi5154h5h4h13x1r4t6b2971162u203l,"Albuquerque, NM",US,1.0,US7124032,35.0841034,-106.650985
4k5g5s6n4j432n406q1f6v2d331a6we595u5lp,Oxford,GB,0.6666666666666666,US8784929,51.7520131,-1.2578499
4k5g5s6n4j432n406q1f6v2d331a6we595u5lp,"Amherst, MA",US,0.3333333333333333,US8784929,42.3731948,-72.5198761
2e3m341315731d4n5l485f5a485q3d4u5r61m48,"La Jolla, CA",US,1.0,US8454960,32.8458529,-117.2575702
r1wo2a5r1p86p5b595r2k4os1s2d3g3q50,"Malvern, PA",US,0.16666666666666666,US8697376,40.036202,-75.5138959
r1wo2a5r1p86p5b595r2k4os1s2d3g3q50,"Silver Spring, MD",US,0.16666666666666666,US8697376,38.9997621,-77.0240371
r1wo2a5r1p86p5b595r2k4os1s2d3g3q50,"Oreland, PA",US,0.16666666666666666,US8697376,40.115489,-75.1811616
r1wo2a5r1p86p5b595r2k4os1s2d3g3q50,"Havertown, PA",US,0.16666666666666666,US8697376,39.9809452,-75.3085201
r1wo2a5r1p86p5b595r2k4os1s2d3g3q50,"Wilmington, NC",US,0.16666666666666666,US8697376,34.2352853,-77.9487284
r1wo2a5r1p86p5b595r2k4os1s2d3g3q50,"Frazer, PA",US,0.16666666666666666,US8697376,40.0323293,-75.5560376
4l3o1u1b36392m5i1a2a52z1z2t46484w5v6eu,"Madison, WI",US,0.5,US9410157,43.07469,-89.3841663
4l3o1u1b36392m5i1a2a52z1z2t46484w5v6eu,"Ithaca, NY",US,0.5,US9410157,42.4374175,-76.5483724
3g5a1n4z1x6b6p3x3a5a6dz1i50f5wn675p4l,Nagakute-shi,JP,0.3333333333333333,US8772012,35.1838064,137.0487181
3g5a1n4z1x6b6p3x3a5a6dz1i50f5wn675p4l,"Nagakute, Aichi",JP,0.3333333333333333,US8772012,35.1838064,137.0487181
3g5a1n4z1x6b6p3x3a5a6dz1i50f5wn675p4l,"Wako-shi, Saitama",JP,0.16666666666666666,US8772012,35.7817053,139.6058692
3g5a1n4z1x6b6p3x3a5a6dz1i50f5wn675p4l,Wako-shi,JP,0.16666666666666666,US8772012,35.7817053,139.6058692
446u386p6lkb4f1l3o455h3362406g6p5a4e2h,Maastricht,NL,0.2857142857142857,US7732621,50.8512438,5.6909768
446u386p6lkb4f1l3o455h3362406g6p5a4e2h,Geleen,NL,0.14285714285714285,US7732621,50.9699953,5.8267029
446u386p6lkb4f1l3o455h3362406g6p5a4e2h,Munstergeleen,NL,0.14285714285714285,US7732621,50.9765279,5.8628416
446u386p6lkb4f1l3o455h3362406g6p5a4e2h,Eupen,BE,0.14285714285714285,US7732621,50.6305665,6.0312717
446u386p6lkb4f1l3o455h3362406g6p5a4e2h,Sittard,NL,0.14285714285714285,US7732621,50.9974235,5.8666627
446u386p6lkb4f1l3o455h3362406g6p5a4e2h,Puth,NL,0.14285714285714285,US7732621,50.9556369,5.8703358
6i4w5in3p3qu2u2u331n2f405f2k3s2x4c1m27,Castelnuovo Berardenga,IT,0.16666666666666666,US8039007,43.3455237,11.5018883
6i4w5in3p3qu2u2u331n2f405f2k3s2x4c1m27,"Potomac, MD",US,0.16666666666666666,US8039007,39.0180508,-77.1956331
6i4w5in3p3qu2u2u331n2f405f2k3s2x4c1m27,Siena,IT,0.5,US8039007,43.1672059,11.467561
6i4w5in3p3qu2u2u331n2f405f2k3s2x4c1m27,"Gaithersburg, MD",US,0.16666666666666666,US8039007,39.1399187,-77.1929215
1a4c1fu2k4wx6d6g64571z224n3p733f5n3w63,Darmstadt,DE,0.25,US9187737,49.872775,8.651177
1a4c1fu2k4wx6d6g64571z224n3p733f5n3w63,Fussgonheim,DE,0.25,US9187737,49.4601777,8.2928057
1a4c1fu2k4wx6d6g64571z224n3p733f5n3w63,Ritterhude,DE,0.25,US9187737,53.1886097,8.7521428
1a4c1fu2k4wx6d6g64571z224n3p733f5n3w63,"Suzhou, Jiangsu",CN,0.25,US9187737,31.311123,120.6212881
638711a6i3n3z2k274b3r15x4i5w2d61s202m,Eupen,BE,0.25,US7423162,50.6305665,6.0312717
638711a6i3n3z2k274b3r15x4i5w2d61s202m,Sittard,NL,0.25,US7423162,50.9974235,5.8666627
638711a6i3n3z2k274b3r15x4i5w2d61s202m,Neutraubling,DE,0.25,US7423162,48.979484,12.2057669
638711a6i3n3z2k274b3r15x4i5w2d61s202m,Eindhoven,NL,0.25,US7423162,51.4485569,5.4501225
a3d5r606r1gl55536k47263171244h4ib3n1f,"Boulder, CO",US,0.5,US8202983,40.0149856,-105.270545
a3d5r606r1gl55536k47263171244h4ib3n1f,Berlin,DE,0.125,US8202983,52.5173885,13.3951309
a3d5r606r1gl55536k47263171244h4ib3n1f,"Berkeley, CA",US,0.125,US8202983,37.8708393,-122.272863
a3d5r606r1gl55536k47263171244h4ib3n1f,Szeged,HU,0.125,US8202983,46.2546312,20.1486016
a3d5r606r1gl55536k47263171244h4ib3n1f,"Loveland, CO",US,0.125,US8202983,40.3977612,-105.07498
564z623303p642tt6i3a4or3g105a3i4d386g,"Baltimore, MD",US,0.6666666666666666,US8945624,39.2908816,-76.610759
564z623303p642tt6i3a4or3g105a3i4d386g,"Washington, DC",US,0.3333333333333333,US8945624,38.8950982,-77.0363849
1e3o462828284c4i5m6r2r4sx5e2i2m3743161b,Norwich,GB,0.5,US8470995,52.6285576,1.2923954
1e3o462828284c4i5m6r2r4sx5e2i2m3743161b,Norfolk,GB,0.5,US8470995,52.666667,1.0
5f5k8663e254o1s5h2k2l44q5b11113g16j6q,Scheyern-Fernhag,DE,0.5,US8426162,48.50151,11.4521152
5f5k8663e254o1s5h2k2l44q5b11113g16j6q,Braunschweig,DE,0.5,US8426162,52.2646577,10.5236066
6p2t731p6e5nh3hf4d3ru65p606h6l553ku,Shanghai,CN,0.6,US9074206,31.2312707,121.4700152
6p2t731p6e5nh3hf4d3ru65p606h6l553ku,Eindhoven,NL,0.1,US9074206,51.4485569,5.4501225
6p2t731p6e5nh3hf4d3ru65p606h6l553ku,"Briarcliff Manor, NY",US,0.3,US9074206,41.1456512,-73.8237456
3b1e5s3j5z332o3hc2g4uj2r63k6i6l2e4w6v,"New York, NY",US,0.25,US9708373,40.7127281,-74.0060152
3b1e5s3j5z332o3hc2g4uj2r63k6i6l2e4w6v,"Leonia, NJ",US,0.25,US9708373,40.8617353,-73.9880495
3b1e5s3j5z332o3hc2g4uj2r63k6i6l2e4w6v,"Decatur, GA",US,0.5,US9708373,30.8736613,-84.5740953
3a24q164k3h4d6431a1l5q1m5d686jy343y13,Dusseldorf,DE,0.16666666666666666,US6740742,51.2254018,6.7763137
3a24q164k3h4d6431a1l5q1m5d686jy343y13,Tubingen,DE,0.16666666666666666,US6740742,48.5203263,9.053596
3a24q164k3h4d6431a1l5q1m5d686jy343y13,Halle,DE,0.16666666666666666,US6740742,51.4824354,11.9712985
3a24q164k3h4d6431a1l5q1m5d686jy343y13,Bielefeld,DE,0.5,US6740742,52.0191005,8.531007
6a2p282h2h156u681q1s5b41353ck3u685h3966,Neustadt,DE,0.25,US7058212,49.3536057,8.1360247
6a2p282h2h156u681q1s5b41353ck3u685h3966,Bucha,DE,0.25,US7058212,50.8813893,11.5133698
6a2p282h2h156u681q1s5b41353ck3u685h3966,Jena,DE,0.5,US7058212,50.9281717,11.5879359
4c2t3j4n3u6s5c3k817y6o34z46442f494y3e,Oberursel,DE,0.6666666666666666,US9606114,50.2032927,8.5833676
4c2t3j4n3u6s5c3k817y6o34z46442f494y3e,Oberurusel,DE,0.3333333333333333,US9606114,,
4k2v2k6j102j442e5y6b7069453o6d4f345t2g,Mannheim,DE,0.25,US9957544,49.4892913,8.4673098
4k2v2k6j102j442e5y6b7069453o6d4f345t2g,Freiburg,DE,0.5,US9957544,47.9960901,7.8494005
4k2v2k6j102j442e5y6b7069453o6d4f345t2g,Gundelfingen,DE,0.25,US9957544,48.0328928,7.8932553
3r2p6g606d165g5c6y46422c252b2m586s1f1g,Tokyo,JP,0.6666666666666666,US7807844,35.6768601,139.7638947
3r2p6g606d165g5c6y46422c252b2m586s1f1g,Kyoto,JP,0.3333333333333333,US7807844,35.0115754,135.7681441
5l2n7019154e2u323y5f5e22o713a2y411z3469,Bielefeld,DE,0.6666666666666666,US6713289,52.0191005,8.531007
5l2n7019154e2u323y5f5e22o713a2y411z3469,Halle,DE,0.16666666666666666,US6713289,51.4824354,11.9712985
5l2n7019154e2u323y5f5e22o713a2y411z3469,Salzkotten,DE,0.16666666666666666,US6713289,51.6717596,8.6068636
364e54286l6q54p446e2c3l3y5o4742242u4z4w,Salzkotten,DE,0.2,US7132272,51.6717596,8.6068636
364e54286l6q54p446e2c3l3y5o4742242u4z4w,Bielefeld,DE,0.6,US7132272,52.0191005,8.531007
364e54286l6q54p446e2c3l3y5o4742242u4z4w,Halle,DE,0.2,US7132272,51.4824354,11.9712985
3a2b56v396242m1u2o293j4a1c353n434y1k12,Dusseldorf,DE,0.16666666666666666,US7074607,51.2254018,6.7763137
3a2b56v396242m1u2o293j4a1c353n434y1k12,Halle,DE,0.16666666666666666,US7074607,51.4824354,11.9712985
3a2b56v396242m1u2o293j4a1c353n434y1k12,Bielefeld,DE,0.5,US7074607,52.0191005,8.531007
3a2b56v396242m1u2o293j4a1c353n434y1k12,Salzkotten,DE,0.16666666666666666,US7074607,51.6717596,8.6068636
3743425w6g2q3245xy341yl666h3h5o48r55,Chapel Hill,,0.3333333333333333,US6521235,35.9131542,-79.05578
3743425w6g2q3245xy341yl666h3h5o48r55,Cary,,0.16666666666666666,US6521235,35.7882893,-78.7812081
3743425w6g2q3245xy341yl666h3h5o48r55,Frederick,,0.5,US6521235,39.2127031,-78.279166
656j3g6l2a2k3k363f41kx43v1e2b2e1b3q30,Montreal,CA,0.4,US7078189,45.5031824,-73.5698065
656j3g6l2a2k3k363f41kx43v1e2b2e1b3q30,Paris,FR,0.4,US7078189,48.8534951,2.3483915
656j3g6l2a2k3k363f41kx43v1e2b2e1b3q30,Montpellier,FR,0.2,US7078189,43.6112422,3.8767337
5t304o5j4vz6d4o1o4ye14182e6i5p5g4s2o43,Hofu-shi,JP,0.42857142857142855,US6468780,34.0517226,131.5629141
5t304o5j4vz6d4o1o4ye14182e6i5p5g4s2o43,Berkeley,,0.14285714285714285,US6468780,37.8708393,-122.272863
5t304o5j4vz6d4o1o4ye14182e6i5p5g4s2o43,Tokyo,JP,0.14285714285714285,US6468780,35.6768601,139.7638947
5t304o5j4vz6d4o1o4ye14182e6i5p5g4s2o43,Ebina-shi,JP,0.14285714285714285,US6468780,35.4464147,139.3906427
5t304o5j4vz6d4o1o4ye14182e6i5p5g4s2o43,Yokohama-shi,JP,0.14285714285714285,US6468780,35.4503381,139.6343802
5e32404s123y5u1g1n672dh5k2k4x34481ko1b,Haga-gun,JP,1.0,US6916645,36.5102425,140.126863
