part_name,pmcid,doi,year
BBa_J23100,PMC4765996,10.1021/acschembio.5b00779,2015
BBa_K811000,PMC5264543,10.1021/sb400174s,2014
BBa_K811001,PMC5264543,10.1021/sb400174s,2014
BBa_K811002,PMC5264543,10.1021/sb400174s,2014
BBa_J61048,PMC4718764,10.1038/nchembio.1979,2015
BBa_E0840,PMC4618176,10.1038/ni.3268,2015
BBa_J23100,PMC4618176,10.1038/ni.3268,2015
BBa_J23119,PMC4845913,10.1007/978-1-4939-2687-9_23,2015
BBa_B0015,PMC4788411,10.1093/pcp/pcv160,2016
BBa_B0034,PMC4788411,10.1093/pcp/pcv160,2016
BBa_I712074,PMC4788411,10.1093/pcp/pcv160,2016
BBa_B0034,PMC4277749,10.1021/sb500047r,2014
BBa_E0020,PMC4277749,10.1021/sb500047r,2014
BBa_E0030,PMC4277749,10.1021/sb500047r,2014
BBa_E1010,PMC4277749,10.1021/sb500047r,2014
BBa_K314202,PMC4277749,10.1021/sb500047r,2014
BBa_K517002,PMC4277749,10.1021/sb500047r,2014
BBa_K519010,PMC4277749,10.1021/sb500047r,2014
BBa_K530000,PMC4277749,10.1021/sb500047r,2014
BBa_K530025,PMC4277749,10.1021/sb500047r,2014
BBa_K538000,PMC4277749,10.1021/sb500047r,2014
BBa_K538004,PMC4277749,10.1021/sb500047r,2014
BBa_K539119,PMC4277749,10.1021/sb500047r,2014
BBa_K541505,PMC4277749,10.1021/sb500047r,2014
BBa_K541506,PMC4277749,10.1021/sb500047r,2014
BBa_K542010,PMC4277749,10.1021/sb500047r,2014
BBa_K548000,PMC4277749,10.1021/sb500047r,2014
BBa_K577006,PMC4277749,10.1021/sb500047r,2014
BBa_K592100,PMC4277749,10.1021/sb500047r,2014
BBa_K648028,PMC4277749,10.1021/sb500047r,2014
BBa_K649001,PMC4277749,10.1021/sb500047r,2014
BBa_K654058,PMC4277749,10.1021/sb500047r,2014
BBa_K660004,PMC4277749,10.1021/sb500047r,2014
BBa_K808001,PMC4277749,10.1021/sb500047r,2014
BBa_K808003,PMC4277749,10.1021/sb500047r,2014
BBa_K808010,PMC4277749,10.1021/sb500047r,2014
BBa_K808013,PMC4277749,10.1021/sb500047r,2014
BBa_K808025,PMC4277749,10.1021/sb500047r,2014
BBa_K864100,PMC4277749,10.1021/sb500047r,2014
BBa_K875009,PMC4277749,10.1021/sb500047r,2014
BBa_K895006,PMC4277749,10.1021/sb500047r,2014
BBa_S05060,PMC4277749,10.1021/sb500047r,2014
BBa_B0015,PMC4272683,10.1016/j.chembiol.2014.10.008,2014
BBa_B0034,PMC4272683,10.1016/j.chembiol.2014.10.008,2014
BBa_C0062,PMC4272683,10.1016/j.chembiol.2014.10.008,2014
BBa_E0240,PMC4272683,10.1016/j.chembiol.2014.10.008,2014
BBa_K176009,PMC4272683,10.1016/j.chembiol.2014.10.008,2014
BBa_R0062,PMC4272683,10.1016/j.chembiol.2014.10.008,2014
BBa_B0015,PMC4675711,10.1093/dnares/dsv024,2015
BBa_B0020,PMC4675711,10.1093/dnares/dsv024,2015
BBa_B0032,PMC4675711,10.1093/dnares/dsv024,2015
BBa_B0053,PMC4675711,10.1093/dnares/dsv024,2015
BBa_B0062,PMC4675711,10.1093/dnares/dsv024,2015
BBa_B1006,PMC4675711,10.1093/dnares/dsv024,2015
BBa_E0040,PMC4675711,10.1093/dnares/dsv024,2015
BBa_E0240,PMC4675711,10.1093/dnares/dsv024,2015
BBa_G00101,PMC4650599,10.1038/srep10658,2015
BBa_B0034,PMC4609045,10.1186/s12934-015-0355-9,2015
BBa_J23104,PMC4499127,10.1093/nar/gkv499,2015
BBa_B0015,PMC4575469,10.1186/s13104-015-1425-0,2015
BBa_J23119,PMC4562711,10.1371/journal.pone.0137421,2015
BBa_B0015,PMC4554450,10.1002/mbo3.257,2015
BBa_J23100,PMC4561953,10.1038/srep13853,2015
BBa_J23100,PMC4559943,10.1186/s13068-015-0327-7,2015
BBa_J23119,PMC4534122,10.1186/s12934-015-0301-x,2015
BBa_J23100,PMC4522091,10.1186/s13068-015-0291-2,2015
BBa_J23102,PMC4522091,10.1186/s13068-015-0291-2,2015
BBa_J23105,PMC4522091,10.1186/s13068-015-0291-2,2015
BBa_J23106,PMC4522091,10.1186/s13068-015-0291-2,2015
BBa_J23118,PMC4522091,10.1186/s13068-015-0291-2,2015
BBa_B0015,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_B0032,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_B0034,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_E0040,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_E0240,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_E1010,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_I13507,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_I14032,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_I763007,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107010,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107012,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107100,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107101,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107102,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107103,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107104,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107105,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107106,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107107,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107108,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107109,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107110,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107111,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107120,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107121,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107122,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107123,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107124,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J107125,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23100,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23101,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23102,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23104,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23105,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23106,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23110,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23114,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23116,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23117,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23118,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J23119,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_J61002,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_K516032,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_R0011,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_R0051,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_R0061,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_S03119,PMC4444344,10.1371/journal.pone.0126264,2015
BBa_K274002,PMC4515103,10.1111/tpj.12781,2015
