parent,child
BBa_250VGPO7,BBa_J32015
BBa_250VGPO7,BBa_25S8QZYH
BBa_250VGPO7,BBa_25KVIN3O
BBa_250VGPO7,BBa_K1761006
BBa_253E9KYQ,BBa_J32015
BBa_253E9KYQ,BBa_25JXN2WR
BBa_253E9KYQ,BBa_25KVIN3O
BBa_253E9KYQ,BBa_K1761006
BBa_255VUL4L,BBa_J32015
BBa_255VUL4L,BBa_25K43P2G
BBa_255VUL4L,BBa_25KVIN3O
BBa_255VUL4L,BBa_K1761006
BBa_252QK2FN,BBa_J32015
BBa_252QK2FN,BBa_250IWA6S
BBa_252QK2FN,BBa_25KVIN3O
BBa_252QK2FN,BBa_K1761006
BBa_25P5BZNO,BBa_J32015
BBa_25P5BZNO,BBa_25BUXSHY
BBa_25P5BZNO,BBa_25KVIN3O
BBa_25P5BZNO,BBa_251O9EM7
BBa_25V0RSVX,BBa_J32015
BBa_25V0RSVX,BBa_25FNRV4N
BBa_25V0RSVX,BBa_25KVIN3O
BBa_25V0RSVX,BBa_K1761006
BBa_25MT4HUW,BBa_J32015
BBa_25MT4HUW,BBa_251WQNNH
BBa_25MT4HUW,BBa_25KVIN3O
BBa_25MT4HUW,BBa_251O9EM7
BBa_25JYVPQN,BBa_K1628202
BBa_25JYVPQN,BBa_25L81IR9
BBa_25JYVPQN,BBa_25V0ZX3W
BBa_25XRIBW0,BBa_25CDGN68
BBa_25XRIBW0,BBa_K4587113
BBa_25XRIBW0,BBa_2591VE13
BBa_25XRIBW0,BBa_25S3H0RP
BBa_25XRIBW0,BBa_259N689W
BBa_25XRIBW0,BBa_2509EZ6U
BBa_25XRIBW0,BBa_K143013
BBa_25XRIBW0,BBa_K1628202
BBa_25XRIBW0,BBa_2591VE13
BBa_25XRIBW0,BBa_25O00TCO
BBa_25XRIBW0,BBa_25MOXUQX
BBa_25XRIBW0,BBa_K4934022
BBa_25Y79J0P,BBa_25CTZG9Q
BBa_25Y79J0P,BBa_258EKT2X
BBa_25Y79J0P,BBa_K5363011
BBa_25FW15AV,BBa_25F7N9EO
BBa_25FW15AV,BBa_25NHXE3I
BBa_25FW15AV,BBa_25CPXDO0
BBa_25FW15AV,BBa_25MGETYD
BBa_25FW15AV,BBa_25SIIXDB
BBa_25FW15AV,BBa_K4348058
BBa_25FW15AV,BBa_25EAUO3A
BBa_25SAZTW8,BBa_25075BDZ
BBa_25SAZTW8,BBa_25ZLOXQW
BBa_25SAZTW8,BBa_K5363011
BBa_25C4J34E,BBa_K2549005
BBa_25C4J34E,BBa_K2549008
BBa_25W5M84A,BBa_J23100
BBa_25W5M84A,BBa_B0010
BBa_25W5M84A,BBa_B0034
BBa_25W5M84A,BBa_E1010
BBa_25W5M84A,BBa_B0010
BBa_255DIYN6,BBa_K4713106
BBa_255DIYN6,BBa_256970Q1
BBa_255DIYN6,BBa_K4643002
BBa_252QAUN3,BBa_J64997
BBa_252QAUN3,BBa_K592016
BBa_252QAUN3,BBa_K2277233
BBa_252QAUN3,BBa_25KXWUKK
BBa_252QAUN3,BBa_K3997002
BBa_252QAUN3,BBa_K4005002
BBa_25KBLKIT,BBa_K4713106
BBa_25KBLKIT,BBa_25AFSLF6
BBa_25KBLKIT,BBa_259XRYXS
BBa_25KBLKIT,BBa_K4643002
BBa_25SYBTV0,BBa_J64997
BBa_25SYBTV0,BBa_K592016
BBa_25SYBTV0,BBa_K2277233
BBa_25SYBTV0,BBa_25V87BRR
BBa_25SYBTV0,BBa_25KXWUKK
BBa_25SYBTV0,BBa_K3997002
BBa_25SYBTV0,BBa_K4005002
BBa_25QRY9WC,BBa_257LI0FF
BBa_25QRY9WC,BBa_B0015
BBa_25OEGIO2,BBa_25QSINHE
BBa_25OEGIO2,BBa_25QK6KT3
BBa_25PMMXD6,BBa_J64997
BBa_25PMMXD6,BBa_K1222999
BBa_25PMMXD6,BBa_25GPCH5Q
BBa_25PMMXD6,BBa_K3997002
BBa_25PMMXD6,BBa_K4005002
BBa_25UIP3DW,BBa_J64997
BBa_25UIP3DW,BBa_K1222999
BBa_25UIP3DW,BBa_K5357010
BBa_25UIP3DW,BBa_K3997002
BBa_25UIP3DW,BBa_K4005002
