part_name,doi,paper_id
BBa_251O9EM7,10.1021/acschembio.5b00753,
BBa_251WQNNH,10.1016/j.bbrc.2024.150454,
BBa_25K43P2G,10.1016/j.isci.2021.103014,
BBa_25S8QZYH,10.1016/j.isci.2021.103014,
BBa_25BUXSHY,10.1016/j.isci.2021.103014,
BBa_25FNRV4N,10.1016/j.isci.2021.103014,
BBa_25JXN2WR,10.1016/j.isci.2021.103014,
BBa_250IWA6S,10.1016/j.isci.2021.103014,
BBa_25Y79J0P,10.1128/jb.181.2.531-540.1999,
BBa_25SAZTW8,10.1128/jb.181.2.531-540.1999,
BBa_25QRY9WC,10.1021/acssynbio.7b00399,
BBa_25OSN05S,10.1016/j.ab.2012.01.026,
BBa_25CPXDO0,10.1016/j.cell.2014.10.002,
BBa_254N49S0,10.1016/j.jmb.2007.02.030,
BBa_2572U6ND,10.1021/jacs.9b03300.s001,
BBa_25XJ6WF2,10.1016/j.jmb.2007.02.030,
BBa_25TGCPE2,10.1016/j.jmb.2007.02.030,
BBa_253FMZOC,10.1021/jacs.9b03300.s001,
BBa_257IOALS,10.1016/j.jmb.2007.02.030,
BBa_25NE2O2I,10.1021/jacs.9b03300.s001,
BBa_25OEX49T,10.1021/jacs.9b03300.s001,
BBa_25NKZV98,10.3389/fmicb.2020.01709,
BBa_25XR1XTX,10.3389/fmicb.2020.01709,
BBa_258F09BB,10.1263/jbb.100.593,
BBa_25CUE35R,10.1038/s41586-020-2545-9,
BBa_25YOH4M0,10.1021/acs.analchem.2c00056,
BBa_252PDP57,10.1186/s42483-023-00209-6,
BBa_25PVXBRM,10.1186/s42483-023-00209-6,
BBa_2530391X,10.15252/msb.20167456,
BBa_25ZUQK0E,10.1038/s41586-020-2545-9,
BBa_25CLL00F,10.1016/j.jmb.2007.02.030,
BBa_250K686K,10.15252/msb.20167456,
BBa_25A27SRE,10.3389/fbioe.2019.00271/full,
BBa_25VJTOV7,10.3389/fbioe.2019.00271/full,
BBa_25ABZ5FD,10.1038/sj.bjc.6603234,
BBa_25JBCXRG,10.1038/sj.bjc.6603234,
BBa_25IQE7EW,10.3389/fbioe.2019.00271/full,
BBa_25SDFP0W,10.1038/s41586-020-2545-9,
BBa_25A7L873,10.1038/s41586-020-2545-9,
BBa_256KFRQP,10.15252/msb.20167456,
BBa_25V001DU,10.1021/acssynbio.7b00399,
BBa_25ZR9ROL,10.15252/msb.20167456,
BBa_253HUJ1H,10.1038/s41586-020-2545-9,
BBa_256OYJGN,10.3389/fbioe.2019.00271/full,
BBa_25GKJBRZ,10.15252/msb.20167456,
BBa_257WUWXZ,10.1016/j.febslet.2006.02.045,
BBa_25BPPV6F,10.3389/fbioe.2019.00271/full,
BBa_25NCO95C,10.1074/jbc.M805721200,
BBa_252PH30R,10.3389/fbioe.2019.00271/full,
BBa_253EDVDS,10.3389/fbioe.2019.00271/full,
BBa_25W7GVGY,10.3389/fbioe.2019.00271/full,
BBa_25T4TYKW,10.1016/j.febslet.2006.02.045,
BBa_25PJXD4U,10.3389/fbioe.2019.00271/full,
BBa_25BXR8T0,10.3389/fbioe.2019.00271/full,
BBa_25K7YDYH,10.15252/msb.20167456,
BBa_259QGXXB,10.1038/s41587-022-01493-x,
BBa_25WOYPOB,10.1371/journal.pone.0022572,
BBa_25OHLRME,10.15252/msb.20167456,
BBa_25FBUY4V,10.15252/msb.20167456,
BBa_25MJZMN7,10.1186/s13568-020-00972-1,
BBa_25H17BPT,10.3390/molecules23020503,
BBa_25VEXK4Z,10.1371/journal.pone.0022572,
BBa_25AH9U2U,10.1016/j.jmb.2012.01.001,
BBa_25PHVZCM,10.1126/science.aac7341,
BBa_25E7DNB1,10.1126/science.aac7341,
BBa_25GKPWG4,10.1126/science.aac7341,
BBa_25W08SJQ,10.3389/fbioe.2019.00271/full,
BBa_254QJJQT,10.1038/s41587-024-02194-3,
BBa_25USX7KG,10.3389/fbioe.2019.00271/full,
BBa_257PY5KG,10.15252/msb.20167456,
BBa_25HIWYTS,10.1016/j.snb.2025.137681,
BBa_255UK1EW,10.3389/fbioe.2019.00271/full,
BBa_25TOR3QQ,10.15252/msb.20167456,
BBa_25Q3C7YN,10.1016/j.plasmid.2008.10.001,
BBa_25T60D9F,10.3389/fbioe.2019.00271/full,
BBa_25DUAQM1,10.1021/acssynbio.6b00134,
BBa_25DUAQM1,10.1101/811588,
BBa_25LS55EJ,10.1016/j.plasmid.2008.10.001,
BBa_250OCHCF,10.1016/j.snb.2025.137681,
BBa_250JEQHB,10.1126/science.aac7341,
BBa_25SXG0YS,10.1126/science.aac7341,
BBa_25LO3UHE,10.1590/s1676-24442013000200004,
BBa_25LPSEZF,10.1016/j.jmb.2012.01.001,
BBa_25XH4PJ9,10.1128/AEM.01370-13,
BBa_25JPVVSQ,10.1016/j.febslet.2006.02.045,
BBa_25JHIL6U,10.1016/j.jmb.2012.01.001,
BBa_25ZROENN,10.1074/jbc.M805721200,
BBa_25ZIXIAJ,10.1126/science.aac7341,
BBa_25IGXIFS,10.1126/science.aac7341,
BBa_25D9PW3W,10.1126/science.aac7341,
BBa_25OFJLWF,10.1126/science.aac7341,
BBa_250CF77G,10.1021/sb500366v,
BBa_25SK151E,10.1016/j.ymben.2022.07.007,
BBa_25SK151E,10.1039/C6MB00789A,
BBa_25BDIZ21,10.1016/j.jmb.2012.01.001,
BBa_25A0G8A0,10.1007/s13273-023-00384-9,
BBa_25F6IMNZ,10.1007/s13273-023-00384-9,
BBa_25PYPDA5,10.1016/S0021-9258(18,
BBa_25PYPDA5,10.1128/JB.171.11.6041-6050.1989,
BBa_25PYPDA5,10.1023/A:1011425319188,
