id,type,title,text,year,city,country,lat,lon,part_name,part_uuid,part_type,part_role,source_dois,team_name,org_uuid,theme_primary,theme_secondary,case_study_flag,case_study_confidence,retrieval_reason
igem_part_BBa_250VGPO7,part,Nb118-SmBit,A fusion protein with an anti-human serum albumin (HSA) nanobody and split NanoLuc fragment. One part of the VeriFied assay. Read more at: [https://2025.igem.wiki/aboa/design](https://2025.igem.wiki/aboa/design),2025,Turku,FI,60.4515942,22.2669988,BBa_250VGPO7,a536a989-3150-4034-b163-7112bd79997a,Coding,Coding,,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_253E9KYQ,part,Nb13-SmBit,A fusion protein with an anti-human serum albumin (HSA) nanobody and split NanoLuc fragment. One part of the VeriFied assay. Read more at: [https://2025.igem.wiki/aboa/design](https://2025.igem.wiki/aboa/design),2025,Turku,FI,60.4515942,22.2669988,BBa_253E9KYQ,08f8c735-63b9-40e1-a951-6ccdcd2afa97,Coding,Coding,,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_255VUL4L,part,Nb126-SmBit,A fusion protein with an anti-human serum albumin (HSA) nanobody and split NanoLuc fragment. One part of the VeriFied assay. Read more at: [https://2025.igem.wiki/aboa/design](https://2025.igem.wiki/aboa/design),2025,Turku,FI,60.4515942,22.2669988,BBa_255VUL4L,b907f99d-21c9-4115-86b8-3cb39655778a,Coding,Coding,,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_252QK2FN,part,Nb29-SmBit,A fusion protein with an anti-human serum albumin (HSA) nanobody and split NanoLuc fragment. One part of the VeriFied assay. Read more at: [https://2025.igem.wiki/aboa/design](https://2025.igem.wiki/aboa/design),2025,Turku,FI,60.4515942,22.2669988,BBa_252QK2FN,5c363d87-d475-4b18-9439-de22f97be8d1,Coding,Coding,,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_25P5BZNO,part,Nb80-LgBit,A fusion protein with an anti-human serum albumin (HSA) nanobody and split NanoLuc fragment. One part of the VeriFied assay. Read more at: [https://2025.igem.wiki/aboa/design](https://2025.igem.wiki/aboa/design),2025,Turku,FI,60.4515942,22.2669988,BBa_25P5BZNO,aacad0e5-cf46-4cc9-b878-e801c16c28c8,Coding,Coding,,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_25V0RSVX,part,Nb77-SmBit,A fusion protein with an anti-human serum albumin (HSA) nanobody and split NanoLuc fragment. One part of the VeriFied assay. Read more at: [https://2025.igem.wiki/aboa/design](https://2025.igem.wiki/aboa/design),2025,Turku,FI,60.4515942,22.2669988,BBa_25V0RSVX,fd46e007-3f6d-4d93-859e-7a4c1dbd49b4,Coding,Coding,,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_25MT4HUW,part,ALB8-LgBit,A fusion protein with an anti-human serum albumin (HSA) nanobody and split NanoLuc fragment. One part of the VeriFied assay. Read more at: [https://2025.igem.wiki/aboa/design](https://2025.igem.wiki/aboa/design),2025,Turku,FI,60.4515942,22.2669988,BBa_25MT4HUW,1e3b802b-45e9-49a5-b3e4-21325697e207,Coding,Coding,,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_251O9EM7,part,Split NanoLuc LgBit,The larger enzyme fragment used in the split NanoLuc system. The part has some activity on its own but is supposed to be used together with the split NanoLuc SmBit (Part: BBa\_K1761006),2025,Turku,FI,60.4515942,22.2669988,BBa_251O9EM7,63197518-ae6d-42eb-96ad-0535dcabed3b,Coding,Coding,10.1021/acschembio.5b00753,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_25KVIN3O,part,(GGGGS)4x flexible linker,A long flexible linker used to combine protein domains to create a fusion protein.,2025,Turku,FI,60.4515942,22.2669988,BBa_25KVIN3O,3b4f0c53-c6ad-45b2-8715-c51eb1d9846c,Coding,Coding,,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_251WQNNH,part,Anti-HSA nanobody ALB8,A high-affinity anti-human serum albumin (HSA) nanobody. The epitope of the nanobody is located on domain II of HSA based on x-ray diffraction data by Masashi Mima et al.,2025,Turku,FI,60.4515942,22.2669988,BBa_251WQNNH,31c5458d-9093-4a5c-81ab-95a2f24df777,Coding,Coding,10.1016/j.bbrc.2024.150454,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_25K43P2G,part,Anti-HSA Nb126,A high-affinity anti-human serum albumin (HSA) nanobody. The epitope of the nanobody is located on domain III of HSA based on cross-link mass spectrometry data by Shen et al.,2025,Turku,FI,60.4515942,22.2669988,BBa_25K43P2G,2cfbf57d-f34c-41a6-abbc-10452c0de8b4,Coding,Coding,10.1016/j.isci.2021.103014,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
