id,type,title,text,year,city,country,lat,lon,all_cities,all_coords,theme_primary,theme_secondary,case_study_flag,case_study_confidence,retrieval_reason
US12404530,patent,Methods for Producing a Composition Containing Lipids From Recombinant Algae Having High Lipid Productivity,Methods for Producing a Composition Containing Lipids From Recombinant Algae Having High Lipid Productivity. The invention provides recombinant algal mutants that have a genetic modification to a gene or nucleic acid sequence encoding a WD40 repeat containing protein or domain. The genetic modification of one or more nucleic acid sequences encoding a WD40 repeat containing protein or domain results in a mutant organism with increased lipid productivity and/or higher biomass productivity (as measured by total organic carbon). The genetic modification can be a gene attenuation or functional deletion. The lipid products of these mutants can be utilized as biofuels or for other specialty chemical products. Methods of making and using the recombinant algal mutants and methods of producing lipids are also disclosed.,2025,La Jolla,US,32.8458529,-117.2575702,"[""La Jolla, CA""]","[[32.8458529, -117.2575702]]",,,True,0.0714,core_keyword
US12385022,patent,RECOMBINANT ALGAE HAVING HIGH LIPID PRODUCTIVITY,"RECOMBINANT ALGAE HAVING HIGH LIPID PRODUCTIVITY. The invention involves the provision of recombinant algal mutants that have a genetic modification to a nucleic acid sequence encoding a trehalose biosynthetic enzyme, and/or a genetic modification to a nucleic acid encoding an RNA binding domain And in some embodiments either of these algal mutants can further have a genetic mutation to a nucleic acid sequence encoding an SGI1 polypeptide. Attenuation of one, two, or all three of these genes results in a mutant organism with increased lipid productivity. It was also discovered that one, two, three, or more genetic mutations can be accumulated or &#x201c;stacked&#x201d; in a particular mutant cell or organism to result in further increases in the production of lipid products. The lipid products of these mutants are useful as biofuels or for other specialty chemical products.",2025,San Diego,US,32.7174202,-117.162772,"[""San Diego, CA""]","[[32.7174202, -117.162772]]",,,True,0.0714,core_keyword
US12378547,patent,SYNTHETIC GENOME,"SYNTHETIC GENOME. The current invention provides a synthetic prokaryotic genome comprising 5 or fewer occurrences of one or more sense codons; and/or a synthetic prokaryotic genome derived from a parent genome, wherein the synthetic prokaryotic genome comprises less than 10%, 5%, 2%, 1%, 0.5%, 0.1% of the occurrences of one or more sense codons, relative to the parent genome; and/or a synthetic prokaryotic genome comprising 100 or more, 200 or more, or 1000 or more genes with no occurrences of one or more sense codons.",2025,Swindon,GB,51.5615327,-1.7854322,"[""Swindon""]","[[51.5615327, -1.7854322]]",,,False,0.0,core_keyword
US12589396,patent,DIGITAL TO BIOLOGICAL CONVERTER,"DIGITAL TO BIOLOGICAL CONVERTER. The present invention provides a system for receiving biological sequence information and activating the synthesis of a biological entity. The system has a receiving unit for receiving a signal encoding biological sequence information transmitted from a transmitting unit. The transmitting unit can be present at a remote location from the receiving unit. The system also has an assembly unit connected to the receiving unit, and the assembly unit assembles the biological entity according to the biological sequence information. Thus, according to the present invention biological sequence information can be digitally transmitted to a remote location and the information converted into a biological entity, for example a protein useful as a vaccine, immediately upon being received by the receiving unit and without further human intervention after preparing the system for receipt of the information. The invention is useful, for example, for rapidly responding to viral and other biological threats that are specific to a particular locale.",2026,La Jolla,US,32.8458529,-117.2575702,"[""La Jolla, CA"", ""Carlsbad, CA"", ""San Marcos, CA""]","[[32.8458529, -117.2575702], [33.1580933, -117.3505966], [33.1352995, -117.1743395]]",,,False,0.0,core_keyword
US12410433,patent,BUILDING DESIGNER RNA NANO-STRUCTURES FOR SYNTHETIC BIOLOGY APPLICATIONS,"BUILDING DESIGNER RNA NANO-STRUCTURES FOR SYNTHETIC BIOLOGY APPLICATIONS. Embodiments of the disclosure include compositions and methods for generating RNA nanostructures, particularly in a cell. In particular embodiments, RNA subunits comprising at least one three-way junction and at least one kissing loop are configured such that multiple RNA subunits can polymerize into a specific structure. In particular embodiments, the RNA subunits are configured such that sequence of at least one kissing loop is complementary to sequence of another kissing loop, such as on another RNA subunit, and the summation of multiple RNA subunits having specific individual structures results in a combined polymerized structure of a defined shape. In specific embodiments, an RNA nanostructure generated from methods herein is utilized for an application, such as manufacturing or genetic modifications in a cell.",2025,Pearland,US,29.5639758,-95.2864299,"[""Pearland, TX""]","[[29.5639758, -95.2864299]]",,,False,0.0,core_keyword
US12553072,patent,"D-xylulose 4-epimerase, mutants and uses thereof","D-xylulose 4-epimerase, mutants and uses thereof. The present disclosure relates to D-xylulose 4-epimerase, mutants thereof, and uses thereof. Specifically, the present disclosure relates to a polypeptide having D-xylulose 4-epimerase activity, a method for preparing said polypeptide, and use of said polypeptide in the preparation of L-pentose using D-xylose or D-xylulose as a raw material. Compared with the traditional preparation method in the prior art, the new method for preparing L-pentose discovered in the present disclosure has simpler production process and reduces the cost of producing L-pentose.",2026,Tianjin,CN,39.3032619,117.4163641,"[""Tianjin""]","[[39.3032619, 117.4163641]]",,,False,0.0,core_keyword
US12460229,patent,RECOMBINANT ARTERIVIRUS REPLICON SYSTEMS AND USES THEREOF,"RECOMBINANT ARTERIVIRUS REPLICON SYSTEMS AND USES THEREOF. The present disclosure generally relates to viral-based expression systems suitable for the production of molecule of interests in recombinant host cells. The disclosure particularly relates to nucleic acid constructs, such as expression vectors, containing a modified arterivirus genome or replicon RNA in which at least some of its original viral sequence has been deleted. Also included in the disclosure are viral-based expression vectors including one or more expression cassettes encoding heterologous polypeptides. In some embodiments, the expression cassettes are configured and positioned at defined locations on the viral genome so as to enable expression of the heterologous polypeptides in a tunable manner.",2025,Olathe,US,38.8838856,-94.81887,"[""Olathe, KS"", ""San Diego, CA"", ""La Jolla, CA""]","[[38.8838856, -94.81887], [32.7174202, -117.162772], [32.8458529, -117.2575702]]",,,False,0.0,core_keyword
US12331326,patent,GENETICALLY ENGINEERED VIBRIO SP. AND USES THEREOF,"GENETICALLY ENGINEERED VIBRIO SP. AND USES THEREOF. The present disclosure relates to the seminal discovery of a generation and use of genetically engineered Vibrio sp. Provided is the use of the genetically engineered bacteria for the construction, maintenance, manipulation, and/or propagation of DNA constructs; protein expression; protein secretion; vectors and other metabolic tools; metabolic engineering; expression of cellular extracts for cell-free biology; shuttle vectors; cloning vectors; and for synthetic biology applications. The disclosure also relates to the use of the replication machinery of Vibrio sp. as a cloning or expression vector for replication of recombinant DNA constructs. The disclosure also relates to methods of use of the above.",2025,San Diego,US,32.7174202,-117.162772,"[""San Diego, CA"", ""Carlsbad, CA""]","[[32.7174202, -117.162772], [33.1580933, -117.3505966]]",,,False,0.0,core_keyword
US12371724,patent,METHODS FOR IN VITRO JOINING AND COMBINATORIAL ASSEMBLY OF NUCLEIC ACID MOLECULES,"METHODS FOR IN VITRO JOINING AND COMBINATORIAL ASSEMBLY OF NUCLEIC ACID MOLECULES. The present invention relates to methods of joining two or more double-stranded (ds) or single-stranded (ss) DNA molecules of interest in vitro, wherein the distal region of the first DNA molecule and the proximal region of the second DNA molecule of each pair share a region of sequence identity. The method allows the joining of a large number of DNA fragments, in a predetermined order and orientation, without the use of restriction enzymes. It can be used, e.g., to join synthetically produced sub-fragments of a gene or genome of interest. Kits for performing the method are also disclosed. The methods of joining DNA molecules may be used to generate combinatorial libraries useful to generate, for example, optimal protein expression through codon optimization, gene optimization, and pathway optimization.",2025,Crofton,US,39.0159547,-76.6842057,"[""Crofton, MD"", ""San Diego, CA"", ""La Jolla, CA"", ""Gaithersburg, MD""]","[[39.0159547, -76.6842057], [32.7174202, -117.162772], [32.8458529, -117.2575702], [39.1399187, -77.1929215]]",,,False,0.0,core_keyword
US12618078,patent,CHLOROPHYTE ALGAE HAVING IMPROVED PRODUCTIVITY,CHLOROPHYTE ALGAE HAVING IMPROVED PRODUCTIVITY. The invention involves mutant or recombinant Chlorophyte algal organisms that have a genetic modification in a gene encoding a chloroplastic signal recognition particle 43 (cpSRP43). In one embodiment the Chlorophyte organisms are Trebouxiophyte algae that are diploid or polyploid for a gene encoding a chloroplastic signal recognition particle 43 (cpSRP43). The mutant organisms can have a genetic modification in one allele of the gene but not in another allele of the gene. The mutant or algal organisms have higher biomass and lipid productivity. Additional mutant or algal organisms are disclosed that also have a genetic modification to one or more genes encoding a light harvesting chlorophyll a/b (binding) protein.,2026,La Jolla,US,32.8458529,-117.2575702,"[""La Jolla, CA""]","[[32.8458529, -117.2575702]]",,,False,0.0,core_keyword
