id,team_id,type,title,text,year,city,country,lat,lon,all_cities,all_coords,theme_primary,theme_secondary,case_study_flag,case_study_confidence,retrieval_reason,team_members
igem_UNIPV-Pavia_2009,173,project,Ethanol? Whey not!,"Ethanol? Whey not!. Cheese whey is classified as a special waste for its high biochemical and chemical oxygen demand. Even if  whey can be valorized by extracting high value substances, like whey-proteins, at the end of the treatment the residual liquid is still a special waste for its high lactose content (4%). E. coli was engineered to convert efficiently lactose into ethanol, a precious biofuel. Three main enzymes are involved in this transformation: beta-galactosidase, pyruvate-decarboxylase and alcohol-dehydrogenaseII. Beta-galactosidase (lacZ gene) was over-expressed to obtain higher lactose-glucose conversion yield. Coding sequences  of pyruvate-decarboxylase (pdc) and alcohol-dehydrogenaseII (adhB), essential in alcoholic fermentation pathway, were designed by DNA chemical synthesis and codon-optimized for E. coli. The final circuit includes the device to metabolize lactose and the ethanol-producing operon, containing pdc and adhB. It has a theoretical yield of 20kilos/tons of whey. Finally, 3OC6HSL, aTc and lactose/IPTG inducible systems were characterized to be used in this circuit.",2009,Pavia,IT,45.19205,9.15917,,,,,True,0.1429,igem,Andrea Turcato;Cusella Gabriella;Daniela Galli;Elisa Del Fabbro;Giacomo Zambianchi;Giulio Chiesa;Letizia Diamante;Lorenzo Pasotti;Manuel Lupotto;Matteo Meroso;Paolo Magni;Rita De Molfetta;Susanna Schiavi;Susanna Zucca;Valerio Vitelli
igem_Newcastle_2009,174,project,Bac-man: sequestering cadmium into Bacillus spores,"Bac-man: sequestering cadmium into Bacillus spores. Cadmium contamination can be a serious problem in countries where polluting industries are located close to agricultural sites. Our team developed a design to address this problem using the resiliant spore-forming bacterium Bacillus subtilis. We engineered B. subtilis to sense and sequester cadmium from the environment into metallothionein containing spores, rendering it bio-unavailable. Germination of the spores can be disabled, making retrieval of the cadmium unnecessary since they can persist intact for thousands of years. We computationally simulated the life cycles of individual cells and entire cell populations, to estimate the parameter values necessary to maintain sustainable populations of sporulating, germinating and vegetative cells. Our design required us to engineer  stochastic differentiation processes at a single cell level. A sporulation rate tuner was developed and  we also engineered a tuneable stochastic invertase switch to stochastically control cell differention and fate.",2009,Newcastle upon Tyne,GB,54.97328,-1.61396,,,,,False,0.0,igem,Anil Wipat;Arunkumar Krishnakumar;Daniel Swan;Goksel Misirli;Hang Zhao;James Murray;Jane Hong;Jennifer Hallinan;Jessica Tarn;Mathew John Robinson;Matthew Pocock;Mike Cooling;Morgan Taschuk
igem_TUDelft_2009,175,project,Bacterial Relay Race,"Bacterial Relay Race. In our project, we aim at creating a cell-to-cell communication system that allows the propagation of a set of instructions coded on a plasmid, and not just binary information as in quorum sensing. To achieve this goal, we have designed a communication system based on three different modules: a conjugation system, a time-delay genetic circuit, and a self- destructive plasmid. Cell-to-cell communication systems are important because, in most synthetic biology applications, the desired tasks are generally accomplished by a population of cells, rather than by a single cell. The proposed communication system could be used for creating a distributed sensors network, or it could help to better understand and possibly reduce antibiotic resistance in bacteria. Furthermore, we have conducted a survey to study the perception on synthetic biology and related ethical issues, among iGEM participants, students and supervisors. We have focused on the top-down and bottom-up approaches as applied to biology.",2009,Delft,NL,52.00667190551758,4.355559825897217,,,,,False,0.0,igem,Calin Plesa;Daniel Solis Escalante;domenico bellomo;Emrah Nikerel;Esengül l Yildirim;Janine Kiers;Saeed Katiraei;Sriram Tiruvadi Krishnan;Tim Vos;Tim_Weenink
igem_USTC_2009,176,project,E. coli Automatic Directed Evolution Machine: a Universal Framework for Evolutionary Approaches in Synthetic Biology,"E. coli Automatic Directed Evolution Machine: a Universal Framework for Evolutionary Approaches in Synthetic Biology. Evolution is powerful enough to create everything, from biomolecules to ecosystems. The ultimate goal of E. coli Automatic Directed Evolution Machine (E.ADEM) project is to manage the power of evolution, by engineering a robust system framework that can automatically create anything we want in synthetic biology, from various types of parts to complex systems. Each demand can be converted into designing a scoring function to give the evolution process a direction. E.ADEM is designed by implementing evolutionary algorithm back into biology. The core of E.ADEM is a self-adaptive controller that can adjust variation rate and selection pressure, based on fitness score, population size and average fitness score calculated by a quorum sensing device. After comprehensive measurement using constitutive promoter family stimulus signals and modeling of the components, a prototype machine is built. Modular design and PoPS device boundary standard will ensure the extensibility and universality of the machine.",2009,Hefei,CN,31.86389,117.28083,,,,,False,0.0,igem,Bing Wu;Chao Li;Danqian Liu;Haiyan Liu;Hanyu Lu;Hao Jiang;Hao Wu;Hao Zhou;Jiarui Wu;Jiayi Dou;Jiong Hong;Li Xing;Xiaoxiao Ma;Zhan Jian;Zhaofeng Luo;Zongxiao He
igem_Warsaw_2009,177,project,BacInVader – a new system for cancer genetic therapy,"BacInVader – a new system for cancer genetic therapy. The main aim of our project is to design a model system based on genetically modified Escherichia coli, capable of entering into eukaryotic cells. We have developed a regulatory system composed of three distinct functional modules.  The whole system is activated by thermal degradation of the repressor protein, which leads to internalisation of E. coli by mammalian cells. When in endosome, pH-dependent two-component regulatory system activity enables the bacterium to escape to cytoplasm. Once the bacterium is in the cytoplasm some proteins are secreted due to expression of specific genes. In our case, secretion of p53 or bax proteins to mitochondria leads to apoptosis without cell cycle arrest thus enabling complementation of traditional chemotherapeutical agents, which affect only proliferating cells.",2009,Warsaw,PL,52.22977,21.01178,,,,,False,0.0,igem,Andrzej Prokop;Anna Olchowik;Anna Saffray;Frank Fijalkowski;Jacek Bielecki;Jakub Piątkowski;Jarosław Pankowski;Justyna M. Lesiak;Kamila Ornoch;Kamil Koper;Marcin Ziemniak;Marek Krzyzanowski;Michael Lower;Michał Kamiński;Monika Niepokojczycka;Pawel Krawczyk;Piotr Stępień;Sebastian Jeleń
igem_Todai-Tokyo_2009,179,project,Prevention of Lifestyle Diseases Using Synthetic Organisms,"Prevention of Lifestyle Diseases Using Synthetic Organisms. Lifestyle diseases, diseases caused by unhealthy living habits, comprise one of the major problems in modern society, especially as they may lead to fatal heart problems or even cancer. However, preventing or curing these diseases is presently of extreme difficulty. Our team, Todai-Tokyo, has been tackling treatment of lifestyle diseases such as hypercholesterolemia, diabetes, circadian rhythm dysfunction, and bad smoking habits by using synthetic living systems, utilizing their ability to incorporate complex logic functions and dispensability of external control once in operation. To do this, we aim to create the following:  cells that ingest cholesterol to decrease blood cholesterol levels, healthy low calorie breads, a system in which periodic gene expression is controlled, and bacteria that encourage smokers to quit smoking, respectively. By applying similar synthetic biology  methodologies to these, prevention of numerous lifestyle-related diseases may become reality, serving as a first step towards their eradication.",2009,Tokyo,JP,35.68949890136719,139.69171142578125,,,,,False,0.0,igem,Akiko Nishimura;Chie Umatani;Craig Hamilton;Daichi Tamaru;Hiroki Kawai;Hiroyuki Yamazaki;Koji Tanaka;Komura Takuya;Mariko Matsuura;Marina Komatsu;Masashi Salvador Mitsuzawa;Sun Xiaosong;Takaki Yamamoto;Takuma Takeuchi;Xin Yin;Yoko Tomizawa;Yoshihiro Shimizu;Yushi Suzuki;Yutaro Kii;Yuya Shimazaki
igem_Southampton_2009,180,project,E.colYMPIC GAMES,"E.colYMPIC GAMES. The project exploits quorum sensing in E. coli to engineer interactions between 'species' such that complex spatiotemporal patterns are generated. We have two systems that correspond the game ³Rock, Paper, Scissors² (RPS) and to Conway¹s ³Game of Life² (GoL). In GoL expression/diffusion of lactones is exploited to create local rules that modulate expression of a fluorescent protein. Fluorescence patterns for different combinations of conditions are modelled using a new simulation tool designed to be generically applicable to inter-bacterial communication. In the RPS system three 'species' each produce a different fluorescent protein whose expression is downregulated by a lactone from one of the other 'species' and hence the interaction network is intransitive. Simulations indicate that when this game is played out on culture plates, a range of complex patterns evolve with time. Also, selective patterning of the different 'species' allows for new 'racetrack' or 'playing field' type of interactivity.",2009,Southampton,GB,50.90395,-1.40428,,,,,False,0.0,igem,Ali Tavassoli;Charles Harrison;Claire Scott;Danielle Edwards;Eugen Stulz;George Attard;Joanne Sampson;Jonathan Hunter;Karolina Kaniewska;Klaus-Peter Zauner;Paul Baseotto;Richard Wilson;Stephanie Chambers;Tom Tweed
igem_MIT_2009,181,project,Photolocalizer,"Photolocalizer. There has been growing interest in designing fast and reversible switchable controls over all steps of gene expression, from transcription to post-translational modification. Our project involves engineering S. cerevisiae to localize proteins to various points in the cell in response to light exposure. Under red light, a tagged protein of interest localizes to a specific target, while exposure to far-red light causes the protein to rapidly delocalize and diffuse throughout the cell. This is accomplished using the PhyB-PIF3 system, a light-based transcriptional regulation system found in Arabidopsis.  This project has two components. 1) Metabolically engineering yeast to endogenously produce PCB, a tetrapyrrole necessary for system activation, and 2) adapting the PhyB-PIF3 system to localize proteins of interest to different targets in the cell.  The versatility and applications for this system are vast, ranging from cellular diffusion studies to easily synchronizing cell division for entire populations.",2009,Cambridge,US,42.3751,-71.10561,,,,,False,0.0,igem,Alexandra Doolittle;Brian Belmont;Brian Ross;Chia-Yung Wu;Cory Li;Dominic McDonald;Jeff Wagner;Kristala Jones Prather;Narendra Maheshri;Natalie Kuldell;Nathan Klapoetke;Scott Carlson;shawn finney-manchester;Stephen Goldfless;Tae Seok Moon;T.L. To
igem_Aberdeen_Scotland_2009,182,project,A Synthetic Biology Approach to Pipe Repair: The Pico-Plumber,"A Synthetic Biology Approach to Pipe Repair: The Pico-Plumber. Damage to inaccessible pipe systems, such as computer cooling circuits, is difficult to rectify. An Escherichia coli synthetic biology circuit for pipe repair was designed. Pipe breach detection and the restoration of pipe integrity were implemented through exploitation of chemotaxis, and cell lysis that releases a two-component protein-based glue (lysyl oxidase and tropoelastin). Control was achieved using an AND gate with quorum sensing and the lac inducer IPTG (released from the breach) as inputs. Deterministic and stochastic models of the genetic circuit, integrated with an agent-based model of E.coli cells, were used to define the effective radii of cell migration and timing of lysis. Constructed AND gate, quorum sensing and lysis timing modules were experimentally tested. The two-component glue concept was successfully validated using in vitro alpha-omega complementation of beta-galatosidase activity. Finally, a proposal for an igem.org-based parameter database was developed to aid the rapid identifation of BioBricks parameter values.",2009,Aberdeen,GB,57.1436882019043,-2.098140001296997,,,,,False,0.0,igem,Alistair JP Brown;Annika Wipprecht;Calum de Burgh;Claudia Rato da Silva;Daniel J. Leirer;Despoina Kaloriti;George Macleod Coghill;Ian Stansfield;James Reid;Jennifer Kleine-Albers;Katriona McMichael;Liam Barry;Marco Thiel;M. Carmen Romano;MD. RISAT UL HAQUE;Mette Jacobsen;Nicholas Smart;Rory MacDonald;Russell Betney;Stuart Campbell;Zuzana Hruskova
igem_USTC_Software_2009,183,project,Automatic Biological Circuit Design,"Automatic Biological Circuit Design. The ultimate goal of synthetic biology is to program complex biological networks that could achieve desired phenotype and produce significant metabolites in purpose of real world application, by fabricating standard components from an engineering-driven perspective. This project explores the application of theoretical approaches to automatically design synthetic complex biological networks with desired functions defined as dynamical behavior and input-output property. We propose a novel design scheme highlighted in the notion of trade-off that synthetic networks could be obtained by a compromise between performance and robustness. Moreover, series of eligible strategies, which consist of various topologies and possible standard components such as BioBricks, provide multiple choices to facilitate the wet experiment procedure. Description of all feasible solutions takes advantage of SBML and SBGN standard to guarantee extensibility and compatibility.",2009,Hefei,CN,31.8665676,117.281428,,,,,False,0.0,igem,Bo Ding;Jiahao Li;Lei Wang;Wei Pan;Wei Yuan;Xiaomo (Mort) Yao;Yu He;Yuwei Cui;Zhaofeng Luo
