k,type_a,type_b,n_cities,observed,null_mean,excess,p_value
10,paper,project,164,0.1445058490606979,0.13907388569752496,0.005431963363172948,0.026973026973026972
10,paper,patent,66,0.4051064366031155,0.36091926699465376,0.04418716960846175,0.001998001998001998
10,project,patent,46,0.2837364943071903,0.2814487726008913,0.002287721706298984,0.34265734265734266
20,paper,project,164,0.13579251496775155,0.12520493475550162,0.010587580212249925,0.003996003996003996
20,paper,patent,66,0.25102777517197683,0.23184236795497523,0.0191854072170016,0.058941058941058944
20,project,patent,46,0.2160830635175883,0.2033059410354664,0.0127771224821219,0.1108891108891109
40,paper,project,164,0.0841141794439799,0.0760849377508872,0.0080292416930927,0.014985014985014986
40,paper,patent,66,0.20541470655134791,0.16210659420369655,0.04330811234765136,0.000999000999000999
40,project,patent,46,0.14762448427881042,0.13956550646096919,0.008058977817841234,0.21578421578421578
60,paper,project,164,0.07111602198683625,0.05836660035871621,0.012749421628120046,0.000999000999000999
60,paper,patent,66,0.1608953398330797,0.11463422444358962,0.04626111538949007,0.000999000999000999
60,project,patent,46,0.09372354778161808,0.0818790789119584,0.011844468869659674,0.06393606393606394
80,paper,project,164,0.05096607789265262,0.040706632118547165,0.010259445774105452,0.000999000999000999
80,paper,patent,66,0.13455031246357216,0.09220389211148716,0.042346420352084996,0.000999000999000999
80,project,patent,46,0.06189353745811137,0.056440078938546974,0.005453458519564393,0.2097902097902098
120,paper,project,164,0.05079474353187081,0.03444910503835382,0.016345638493516987,0.000999000999000999
120,paper,patent,66,0.11127560017022807,0.0752370957388918,0.03603850443133627,0.000999000999000999
120,project,patent,46,0.05084747429859232,0.04207468445939249,0.00877278983919983,0.06793206793206794
