k,type_a,type_b,n_cities,observed,null_mean,excess,p_value
10,paper,project,164,0.3964000559690553,0.3785360340969801,0.017864021872075198,0.004497751124437781
10,paper,patent,66,0.4829084848297649,0.4406582571254741,0.04225022770429082,0.0034982508745627187
10,project,patent,46,0.38225226146542196,0.35973424217564876,0.022518019289773206,0.046476761619190406
20,paper,project,164,0.27900422500164573,0.2510010781112198,0.028003146890425934,0.0004997501249375312
20,paper,patent,66,0.31336028727490006,0.2595836840212133,0.05377660325368677,0.0004997501249375312
20,project,patent,46,0.20982195995954991,0.21673181437440509,-0.006909854414855171,0.6991504247876063
40,paper,project,164,0.1770433491053736,0.15613274465633628,0.020910604449037307,0.0014992503748125937
40,paper,patent,66,0.15244597307217156,0.1323308814930252,0.02011509157914637,0.02348825587206397
40,project,patent,46,0.1102954673243339,0.11004631388841027,0.0002491534359236325,0.4767616191904048
60,paper,project,164,0.13125854919671312,0.11005446346418425,0.02120408573252887,0.0004997501249375312
60,paper,patent,66,0.1418185924553815,0.11066779779062223,0.03115079466475927,0.0004997501249375312
60,project,patent,46,0.09961660431301915,0.09734891505214859,0.0022676892608705645,0.3818090954522739
80,paper,project,164,0.12464765837843349,0.0999785128402498,0.02466914553818368,0.0004997501249375312
80,paper,patent,66,0.12124588192670906,0.09085423642927418,0.03039164549743488,0.0004997501249375312
80,project,patent,46,0.07750755769495334,0.06657171251607369,0.010935845178879647,0.07196401799100449
120,paper,project,164,0.10128987377205365,0.07492203420131827,0.02636783957073538,0.0004997501249375312
120,paper,patent,66,0.08180249039563725,0.06587560896727666,0.015926881428360587,0.004497751124437781
120,project,patent,46,0.047788592787090634,0.049211735559521075,-0.0014231427724304413,0.5612193903048476
