k,type_a,type_b,n_cities,observed,null_mean,excess,p_value
10,paper,project,102,0.14815237337654585,0.13685198559479983,0.011300387781746024,0.015984015984015984
10,paper,patent,58,0.49333390060871146,0.3933813848747526,0.09995251573395886,0.000999000999000999
10,project,patent,46,0.23094154442076456,0.2234843646541972,0.007457179766567373,0.2077922077922078
20,paper,project,102,0.12881032729330702,0.1095608249684232,0.019249502324883816,0.002997002997002997
20,paper,patent,58,0.33416804763133406,0.23144764428845543,0.10272040334287863,0.000999000999000999
20,project,patent,46,0.13484112970067583,0.11909034445231619,0.01575078524835964,0.03196803196803197
40,paper,project,102,0.09688574879915578,0.07063698974360537,0.026248759055550408,0.000999000999000999
40,paper,patent,58,0.2678999775333545,0.173422519902816,0.09447745763053847,0.000999000999000999
40,project,patent,46,0.10486497175371406,0.0936812122746385,0.011183759479075558,0.08791208791208792
60,paper,project,102,0.06948600800019783,0.05403520982099619,0.015450798179201641,0.005994005994005994
60,paper,patent,58,0.225558931414432,0.14614621690760882,0.07941271450682319,0.000999000999000999
60,project,patent,46,0.08380629499797494,0.06441011342602682,0.019396181571948126,0.006993006993006993
80,paper,project,102,0.06268546801069602,0.04109775821811886,0.02158770979257716,0.000999000999000999
80,paper,patent,58,0.1895514994531563,0.10320525894038002,0.08634624051277628,0.000999000999000999
80,project,patent,46,0.06567806699453718,0.05314517365011944,0.01253289334441774,0.028971028971028972
120,paper,project,102,0.03650702629379728,0.026684441373779937,0.009822584920017346,0.011988011988011988
120,paper,patent,58,0.16043739610885666,0.08066074058128378,0.07977665552757288,0.000999000999000999
120,project,patent,46,0.04143335151001632,0.034242975557627266,0.007190375952389055,0.0979020979020979
