city,country,n_papers,n_projects,semantic_overlap
Guwahati,IN,3,1,0.8510785102844238
Santa Clara,US,1,1,0.8497134447097778
Roorkee,IN,1,4,0.8432053923606873
Noda,JP,1,1,0.8397918939590454
Phoenix,US,1,1,0.838083028793335
Bogor,ID,1,1,0.8359609842300415
Agra,IN,1,1,0.8329983949661255
Merced,US,1,1,0.8283678293228149
León,ES,1,1,0.8279829025268555
Tampa,US,2,1,0.8156236410140991
West Point,US,1,1,0.8142953515052795
Orléans,FR,1,1,0.8137590885162354
Kfar Saba,IL,1,2,0.8074597120285034
Charleston,US,1,1,0.8052262663841248
Boca Raton,US,1,1,0.8043339252471924
