city,country,n_papers,n_projects,semantic_overlap
Cambridge,US,364,40,0.9937794208526612
Shanghai,CN,126,216,0.9925571084022522
Tianjin,CN,112,35,0.9914629459381104
Berkeley,US,98,13,0.991374373435974
Beijing,CN,356,258,0.9910684823989868
Boston,US,95,25,0.9910242557525636
Hangzhou,CN,60,45,0.9902204871177672
Wuhan,CN,64,102,0.989274263381958
Changsha,CN,22,26,0.9891282320022584
Urbana,US,60,16,0.9888867139816284
Marburg,DE,32,11,0.9885082244873048
Munich,DE,58,18,0.9883310794830322
Paris,FR,147,37,0.9882620573043824
Guangzhou,CN,63,52,0.9882197976112366
Xiamen,CN,11,21,0.9876457452774048
